  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
2001,9,37149,2001.7068,367.95,373.79,367.03,372.87,367.95,373.79
2001,10,37179,2001.789,371.88,374.35,370.51,372.99,371.88,374.35
2001,11,37210,2001.874,372.37,372.42,373.06,373.1,372.37,372.42
2001,12,37240,2001.9562,374.1,373.49,373.83,373.22,374.1,373.49
2002,1,37271,2002.0411,375.44,373.98,374.79,373.34,375.44,373.98
2002,2,37302,2002.126,375.95,373.48,375.94,373.47,375.95,373.48
2002,3,37330,2002.2027,376.76,373.67,376.7,373.61,376.76,373.67
2002,4,37361,2002.2877,376.66,372.71,377.73,373.78,376.66,372.71
2002,5,37391,2002.3699,377.76,373.57,378.17,373.98,377.76,373.57
2002,6,37422,2002.4548,375.26,373.37,376.1,374.22,375.26,373.37
2002,7,37452,2002.537,372.28,374.9,371.84,374.47,372.28,374.9
2002,8,37483,2002.6219,368.5,374.88,368.35,374.73,368.5,374.88
2002,9,37514,2002.7068,369.22,375.11,369.11,375,369.22,375.11
2002,10,37544,2002.789,373.8,376.3,372.75,375.24,373.8,376.3
2002,11,37575,2002.874,375.14,375.18,375.43,375.48,375.14,375.18
2002,12,37605,2002.9562,375.94,375.33,376.32,375.7,375.94,375.33
2003,1,37636,2003.0411,-99.99,-99.99,377.39,375.93,377.39,375.93
2003,2,37667,2003.126,378.57,376.08,378.64,376.15,378.57,376.08
2003,3,37695,2003.2027,378.52,375.4,379.46,376.34,378.52,375.4
2003,4,37726,2003.2877,380.62,376.64,380.54,376.56,380.62,376.64
2003,5,37756,2003.3699,380.98,376.76,380.98,376.76,380.98,376.76
2003,6,37787,2003.4548,379.3,377.4,378.86,376.96,379.3,377.4
2003,7,37817,2003.537,374.33,376.97,374.49,377.14,374.33,376.97
2003,8,37848,2003.6219,370.91,377.33,370.89,377.32,370.91,377.33
2003,9,37879,2003.7068,370.94,376.87,371.57,377.49,370.94,376.87
2003,10,37909,2003.789,375.43,377.94,375.15,377.66,375.43,377.94
2003,11,37940,2003.874,378.86,378.9,377.77,377.82,378.86,378.9
2003,12,37970,2003.9562,378.53,377.91,378.58,377.96,378.53,377.91
2004,1,38001,2004.041,378.99,377.52,379.57,378.1,378.99,377.52
2004,2,38032,2004.1257,380.62,378.12,380.72,378.22,380.62,378.12
2004,3,38061,2004.2049,381.89,378.74,381.49,378.34,381.89,378.74
2004,4,38092,2004.2896,382.5,378.47,382.49,378.46,382.5,378.47
2004,5,38122,2004.3716,381.95,377.72,382.81,378.57,381.95,377.72
2004,6,38153,2004.4563,380.67,378.82,380.55,378.7,380.67,378.82
2004,7,38183,2004.5383,376.23,378.96,376.1,378.84,376.23,378.96
2004,8,38214,2004.623,373.26,379.76,372.48,378.97,373.26,379.76
2004,9,38245,2004.7077,372.45,378.39,373.17,379.11,372.45,378.39
2004,10,38275,2004.7896,376.9,379.41,376.74,379.25,376.9,379.41
2004,11,38306,2004.8743,377.84,377.88,379.35,379.4,377.84,377.88
2004,12,38336,2004.9563,-99.99,-99.99,380.17,379.54,380.17,379.54
2005,1,38367,2005.0411,381.64,380.16,381.18,379.7,381.64,380.16
2005,2,38398,2005.126,382.32,379.8,382.37,379.85,382.32,379.8
2005,3,38426,2005.2027,384.15,380.99,383.14,379.98,384.15,380.99
2005,4,38457,2005.2877,383.81,379.77,384.18,380.14,383.81,379.77
2005,5,38487,2005.3699,383.86,379.58,384.58,380.3,383.86,379.58
2005,6,38518,2005.4548,381.05,379.12,382.41,380.48,381.05,379.12
2005,7,38548,2005.537,378.25,380.93,377.99,380.67,378.25,380.93
2005,8,38579,2005.6219,374.56,381.08,374.37,380.89,374.56,381.08
2005,9,38610,2005.7068,374.41,380.42,375.1,381.11,374.41,380.42
2005,10,38640,2005.789,380.15,382.7,378.78,381.33,380.15,382.7
2005,11,38671,2005.874,380.38,380.43,381.51,381.56,380.38,380.43
2005,12,38701,2005.9562,-99.99,-99.99,382.41,381.78,382.41,381.78
2006,1,38732,2006.0411,383.55,382.06,383.51,382.01,383.55,382.06
2006,2,38763,2006.126,385.04,382.5,384.77,382.23,385.04,382.5
2006,3,38791,2006.2027,385.94,382.76,385.6,382.43,385.94,382.76
2006,4,38822,2006.2877,386.1,382.04,386.7,382.63,386.1,382.04
2006,5,38852,2006.3699,386.71,382.4,387.14,382.83,386.71,382.4
2006,6,38883,2006.4548,384.71,382.77,384.96,383.02,384.71,382.77
2006,7,38913,2006.537,382.65,385.35,380.49,383.19,382.65,385.35
2006,8,38944,2006.6219,375.13,381.69,376.78,383.34,375.13,381.69
2006,9,38975,2006.7068,376.92,382.97,377.42,383.48,376.92,382.97
2006,10,39005,2006.789,381.19,383.75,381.04,383.61,381.19,383.75
2006,11,39036,2006.874,383.36,383.41,383.68,383.73,383.36,383.41
2006,12,39066,2006.9562,384.56,383.92,384.48,383.85,384.56,383.92
2007,1,39097,2007.0411,386.55,385.05,385.48,383.97,386.55,385.05
2007,2,39128,2007.126,-99.99,-99.99,386.65,384.09,386.65,384.09
2007,3,39156,2007.2027,-99.99,-99.99,387.4,384.2,387.4,384.2
2007,4,39187,2007.2877,388.91,384.81,388.43,384.33,388.91,384.81
2007,5,39217,2007.3699,388.78,384.44,388.81,384.47,388.78,384.44
2007,6,39248,2007.4548,386.1,384.14,386.59,384.63,386.1,384.14
2007,7,39278,2007.537,382.45,385.17,382.09,384.81,382.45,385.17
2007,8,39309,2007.6219,378.29,384.89,378.41,385.01,378.29,384.89
2007,9,39340,2007.7068,378.44,384.53,379.15,385.24,378.44,384.53
2007,10,39370,2007.789,382.03,384.61,382.9,385.49,382.03,384.61
2007,11,39401,2007.874,-99.99,-99.99,385.71,385.76,385.71,385.76
2007,12,39431,2007.9562,386.21,385.57,386.68,386.04,386.21,385.57
2008,1,39462,2008.041,388.57,387.06,387.85,386.34,388.57,387.06
2008,2,39493,2008.1257,388.68,386.11,389.2,386.63,388.68,386.11
2008,3,39522,2008.2049,389.51,386.27,390.13,386.89,389.51,386.27
2008,4,39553,2008.2896,392,387.86,391.3,387.16,392,387.86
2008,5,39583,2008.3716,392.49,388.14,391.74,387.39,392.49,388.14
2008,6,39614,2008.4563,388.99,387.09,389.5,387.6,388.99,387.09
2008,7,39644,2008.5383,384.27,387.08,384.95,387.77,384.27,387.08
2008,8,39675,2008.623,380.15,386.82,381.24,387.92,380.15,386.82
2008,9,39706,2008.7077,382.2,388.31,381.94,388.05,382.2,388.31
2008,10,39736,2008.7896,383.48,386.06,385.58,388.16,383.48,386.06
2008,11,39767,2008.8743,388.82,388.87,388.2,388.25,388.82,388.87
2008,12,39797,2008.9563,389.85,389.21,388.96,388.31,389.85,389.21
2009,1,39828,2009.0411,388.47,386.94,389.88,388.36,388.47,386.94
2009,2,39859,2009.126,390.99,388.4,390.97,388.38,390.99,388.4
2009,3,39887,2009.2027,392.05,388.8,391.63,388.38,392.05,388.8
2009,4,39918,2009.2877,393.16,389.01,392.53,388.38,393.16,389.01
2009,5,39948,2009.3699,393.12,388.72,392.77,388.37,393.12,388.72
2009,6,39979,2009.4548,390.21,388.22,390.35,388.37,390.21,388.22
2009,7,40009,2009.537,385.12,387.88,385.63,388.39,385.12,387.88
2009,8,40040,2009.6219,-99.99,-99.99,381.74,388.44,381.74,388.44
2009,9,40071,2009.7068,383.03,389.21,382.36,388.54,383.03,389.21
2009,10,40101,2009.789,384.49,387.11,386.05,388.67,384.49,387.11
2009,11,40132,2009.874,388.49,388.54,388.81,388.86,388.49,388.54
2009,12,40162,2009.9562,389.52,388.88,389.73,389.08,389.52,388.88
2010,1,40193,2010.0411,390.8,389.26,390.89,389.36,390.8,389.26
2010,2,40224,2010.126,391.61,389,392.27,389.66,391.61,389
2010,3,40252,2010.2027,392.7,389.43,393.23,389.96,392.7,389.43
2010,4,40283,2010.2877,394.56,390.37,394.49,390.31,394.56,390.37
2010,5,40313,2010.3699,394.94,390.51,395.07,390.64,394.94,390.51
2010,6,40344,2010.4548,393.26,391.26,392.96,390.96,393.26,391.26
2010,7,40374,2010.537,390.39,393.17,388.47,391.24,390.39,393.17
2010,8,40405,2010.6219,384.49,391.23,384.74,391.49,384.49,391.23
2010,9,40436,2010.7068,385.27,391.49,385.47,391.69,385.27,391.49
2010,10,40466,2010.789,390.56,393.2,389.22,391.86,390.56,393.2
2010,11,40497,2010.874,391.13,391.18,391.97,392.02,391.13,391.18
2010,12,40527,2010.9562,392.28,391.63,392.81,392.16,392.28,391.63
2011,1,40558,2011.0411,393.22,391.67,393.85,392.3,393.22,391.67
2011,2,40589,2011.126,394.92,392.29,395.08,392.45,394.92,392.29
2011,3,40617,2011.2027,395.69,392.4,395.87,392.58,395.69,392.4
2011,4,40648,2011.2877,396.13,391.92,396.95,392.74,396.13,391.92
2011,5,40678,2011.3699,397.64,393.17,397.35,392.89,397.64,393.17
2011,6,40709,2011.4548,395.2,393.19,395.06,393.05,395.2,393.19
2011,7,40739,2011.537,389.8,392.6,390.41,393.2,389.8,392.6
2011,8,40770,2011.6219,386.66,393.45,386.56,393.35,386.66,393.45
2011,9,40801,2011.7068,387.93,394.19,387.24,393.5,387.93,394.19
2011,10,40831,2011.789,390.57,393.23,390.98,393.64,390.57,393.23
2011,11,40862,2011.874,392.71,392.76,393.72,393.77,392.71,392.76
2011,12,40892,2011.9562,-99.99,-99.99,394.55,393.9,394.55,393.9
2012,1,40923,2012.041,395.08,393.53,395.58,394.02,395.08,393.53
2012,2,40954,2012.1257,397.29,394.65,396.79,394.15,397.29,394.65
2012,3,40983,2012.2049,397.68,394.35,397.59,394.26,397.68,394.35
2012,4,41014,2012.2896,398.55,394.29,398.63,394.37,398.55,394.29
2012,5,41044,2012.3716,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,6,41075,2012.4563,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,7,41105,2012.5383,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,8,41136,2012.623,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,9,41167,2012.7077,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,10,41197,2012.7896,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,11,41228,2012.8743,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2012,12,41258,2012.9563,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
